"reading_id","node_name","temperature","humidity","light_intensity","timeposted"
"160","Node2","25.9","82.1","1360","2024-12-09 22:10:20"
"161","Node2","25.8","82.1","1386","2024-12-09 22:10:25"
"162","Node2","25.9","82.1","1380","2024-12-09 22:10:30"
"163","Node2","25.9","82","1383","2024-12-09 22:10:35"
"164","Node2","25.9","82","1383","2024-12-09 22:10:40"
"165","Node2","25.9","82","1383","2024-12-09 22:10:45"
"166","Node2","25.9","82.1","1383","2024-12-09 22:10:50"
"167","Node2","25.9","82.1","1391","2024-12-09 22:10:55"
"168","Node2","25.8","82.1","1378","2024-12-09 22:11:00"
"169","Node2","25.9","82.1","1385","2024-12-09 22:11:05"
"170","Node2","25.9","82","1389","2024-12-09 22:11:10"
"171","Node2","25.9","82.1","1391","2024-12-09 22:11:15"
"172","Node2","25.9","82","1391","2024-12-09 22:11:20"
"173","Node2","25.9","82","1389","2024-12-09 22:11:25"
"174","Node2","25.9","82","1375","2024-12-09 22:11:30"
"175","Node2","25.9","82","1312","2024-12-09 22:11:35"
"176","Node2","25.9","82.1","1259","2024-12-09 22:11:40"
"177","Node2","25.9","82.1","1282","2024-12-09 22:11:45"
"178","Node2","25.9","82","1282","2024-12-09 22:11:50"
"179","Node2","25.9","82.1","1242","2024-12-09 22:11:55"
"180","Node2","25.9","82.1","1210","2024-12-09 22:12:00"
"181","Node2","25.9","82","1291","2024-12-09 22:12:31"
"182","Node2","25.9","82","1313","2024-12-09 22:12:36"
"183","Node2","25.9","82","1285","2024-12-09 22:12:41"
"184","Node2","25.9","82","1244","2024-12-09 22:12:46"
"185","Node2","25.9","81.9","1375","2024-12-09 22:12:51"
"186","Node2","25.9","81.9","1375","2024-12-09 22:12:56"
"187","Node2","25.9","81.9","1378","2024-12-09 22:13:01"
"188","Node2","25.9","81.9","1363","2024-12-09 22:13:06"
"189","Node2","25.7","82.5","1402","2024-12-09 22:14:40"
"190","Node2","25.8","82.5","1395","2024-12-09 22:14:45"
"191","Node2","25.8","82.4","1393","2024-12-09 22:14:50"
"192","Node2","25.8","82.4","1392","2024-12-09 22:14:55"
"193","Node2","25.8","82.4","1391","2024-12-09 22:15:00"
"194","Node2","25.8","82.3","1391","2024-12-09 22:15:05"
"195","Node2","25.8","82.3","1398","2024-12-09 22:15:10"
"196","Node2","25.8","82.3","1392","2024-12-09 22:15:15"
"197","Node2","25.8","82.2","1393","2024-12-09 22:15:22"
"198","Node2","25.8","82.2","1383","2024-12-09 22:15:25"
"199","Node2","25.8","82.2","1373","2024-12-09 22:15:30"
"200","Node2","25.8","82.2","1373","2024-12-09 22:15:35"
"201","Node2","25.9","82.2","1389","2024-12-09 22:15:40"
"202","Node2","25.8","82.2","1392","2024-12-09 22:15:45"
"203","Node2","25.8","82.2","1403","2024-12-09 22:15:50"
"204","Node2","25.8","82.2","1374","2024-12-09 22:15:55"
"205","Node2","25.9","82.2","1381","2024-12-09 22:16:00"
"206","Node2","25.9","82.2","1381","2024-12-09 22:16:05"
"207","Node2","25.9","82.2","1401","2024-12-09 22:16:10"
"208","Node2","25.9","82.2","1399","2024-12-09 22:16:15"
"209","Node2","25.8","82.2","1396","2024-12-09 22:16:20"
"210","Node2","25.9","82.2","1399","2024-12-09 22:16:25"
"211","Node2","25.9","82.1","1395","2024-12-09 22:16:30"
"212","Node2","25.9","82.1","1395","2024-12-09 22:16:35"
"213","Node2","25.8","82.1","1391","2024-12-09 22:16:40"
"214","Node2","25.9","82.1","1395","2024-12-09 22:16:45"
"215","Node2","25.8","82.1","1394","2024-12-09 22:16:50"
"216","Node2","25.8","82.1","1398","2024-12-09 22:16:55"
"217","Node2","25.8","82.1","1392","2024-12-09 22:17:00"
"218","Node2","25.8","82.3","1392","2024-12-09 23:28:52"
"219","Node2","25.8","82.3","1389","2024-12-09 23:28:57"
"220","Node2","25.8","82.3","1391","2024-12-09 23:29:02"
"221","Node2","25.8","82.3","1390","2024-12-09 23:29:07"
"222","Node2","25.8","82.3","1385","2024-12-09 23:29:12"
"223","Node2","25.8","82.2","1385","2024-12-09 23:29:17"
"224","Node2","25.8","82.2","1370","2024-12-09 23:29:22"
"225","Node2","25.8","82.2","1385","2024-12-09 23:29:27"
"226","Node2","25.8","82.2","1367","2024-12-09 23:29:32"
"227","Node2","25.8","82.2","1363","2024-12-09 23:29:37"
"228","Node2","25.8","82.2","1393","2024-12-09 23:29:42"
"229","Node2","25.8","82.2","1393","2024-12-09 23:29:49"
"230","Node2","25.8","82.2","1334","2024-12-09 23:29:52"
"231","Node2","25.8","82.1","1392","2024-12-09 23:29:57"
"232","Node2","25.8","82.2","1374","2024-12-09 23:30:02"
"233","Node2","25.8","82.2","1374","2024-12-09 23:30:07"
"234","Node2","25.8","82.2","1393","2024-12-09 23:30:12"
"235","Node2","25.8","82.2","1383","2024-12-09 23:30:17"
"236","Node2","25.8","82.2","1389","2024-12-09 23:30:22"
"237","Node2","25.8","82.2","1418","2024-12-09 23:30:27"
"238","Node2","25.8","82.2","1394","2024-12-09 23:30:32"
"239","Node2","25.8","82.2","1394","2024-12-09 23:30:37"
"240","Node2","25.8","82.2","1375","2024-12-09 23:30:42"
"241","Node2","25.8","82.2","1392","2024-12-09 23:30:47"
"242","Node2","25.8","82.2","1383","2024-12-09 23:30:52"
"243","Node2","25.8","82.2","1391","2024-12-09 23:30:57"
"244","Node2","25.8","82.2","1370","2024-12-09 23:31:02"
"245","Node2","25.8","82.2","1370","2024-12-09 23:31:07"
"246","Node2","25.8","82.2","1393","2024-12-09 23:31:12"
"247","Node2","25.8","82.2","1390","2024-12-09 23:31:17"
"248","Node2","25.8","82.2","1385","2024-12-09 23:31:22"
"249","Node2","25.8","82.2","1392","2024-12-09 23:31:27"
"250","Node2","25.8","82.2","1399","2024-12-09 23:31:32"
"251","Node2","25.8","82.2","1399","2024-12-09 23:31:37"
"252","Node2","25.8","82.3","1392","2024-12-09 23:31:42"
"253","Node2","25.7","82.3","1392","2024-12-09 23:31:47"
"254","Node2","25.8","82.3","1366","2024-12-09 23:31:52"
"255","Node2","25.7","82.3","1392","2024-12-09 23:31:57"
"256","Node2","25.7","82.3","1392","2024-12-09 23:32:02"
"257","Node2","25.7","82.3","1392","2024-12-09 23:32:07"
"258","Node2","25.8","82.3","1394","2024-12-09 23:32:12"
"259","Node2","25.8","82.3","1397","2024-12-09 23:32:17"
"260","Node2","25.8","82.3","1426","2024-12-09 23:32:22"
"261","Node2","25.7","82.3","1392","2024-12-09 23:32:27"
"262","Node2","25.8","82.2","1386","2024-12-09 23:32:32"
"263","Node2","25.8","82.2","1386","2024-12-09 23:32:37"
"264","Node2","25.8","82.3","1377","2024-12-09 23:32:42"
"265","Node2","25.8","82.3","1388","2024-12-09 23:32:47"
"266","Node2","25.7","82.2","1374","2024-12-09 23:32:52"
"267","Node2","25.8","82.2","1399","2024-12-09 23:32:57"
"268","Node2","25.8","82.3","1392","2024-12-09 23:33:02"
"269","Node2","25.8","82.3","1392","2024-12-09 23:33:09"
"270","Node2","25.8","82.2","1351","2024-12-09 23:33:12"
"271","Node2","25.8","82.2","1392","2024-12-09 23:33:17"
"272","Node2","25.7","82.3","1385","2024-12-09 23:33:22"
"273","Node2","25.7","82.2","1385","2024-12-09 23:33:27"
"274","Node2","25.7","82.3","1367","2024-12-09 23:33:32"
"275","Node2","25.7","82.3","1387","2024-12-09 23:33:37"
"276","Node2","25.8","82.2","1391","2024-12-09 23:33:42"
"277","Node2","25.8","82.3","1389","2024-12-09 23:33:47"
"278","Node2","25.7","82.2","1383","2024-12-09 23:33:52"
"279","Node2","25.7","82.3","1383","2024-12-09 23:34:00"
"280","Node2","25.7","82.3","1348","2024-12-09 23:34:02"
"281","Node2","25.7","82.3","1391","2024-12-09 23:34:07"
"282","Node2","25.7","82.3","1381","2024-12-09 23:34:12"
"283","Node2","25.7","82.3","1381","2024-12-09 23:34:17"
"284","Node2","25.7","82.4","1388","2024-12-09 23:34:22"
"285","Node2","25.7","82.4","1387","2024-12-09 23:34:27"
"286","Node2","25.7","82.4","1385","2024-12-09 23:34:32"
"287","Node2","25.7","82.4","1390","2024-12-09 23:34:37"
"288","Node2","25.8","82.3","1378","2024-12-09 23:34:42"
"289","Node2","25.8","82.3","1378","2024-12-09 23:34:47"
"290","Node2","25.7","82.3","1388","2024-12-09 23:34:52"
"291","Node2","25.8","82.3","1387","2024-12-09 23:34:57"
"292","Node2","25.8","82.3","1377","2024-12-09 23:35:02"
"293","Node2","25.8","82.3","1356","2024-12-09 23:35:07"
"294","Node2","25.8","82.2","1389","2024-12-09 23:35:12"
"295","Node2","25.8","82.2","1389","2024-12-09 23:35:17"
"296","Node2","25.8","82.2","1390","2024-12-09 23:35:22"
"297","Node2","25.8","82.2","1383","2024-12-09 23:35:27"
